"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Python", "vue", "MS SQL", "PostCSS", "Shell Script", "Properties", "YAML", "Docker", "pip requirements", "HTML", "Ignore", "XML", "comment", "blank", "total"
"d:\Code\Gw2-wvw-log-analyzer\docs\02-api-documentation\combat-analysis-api.md", "Markdown", 0, 0, 0, 396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 498
"d:\Code\Gw2-wvw-log-analyzer\docs\02-api-documentation\dictionary-api.md", "Markdown", 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 784
"d:\Code\Gw2-wvw-log-analyzer\docs\03-data-analysis\ei-data-format.md", "Markdown", 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 435
"d:\Code\Gw2-wvw-log-analyzer\docs\03-database\database-guide.md", "Markdown", 0, 0, 0, 1460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 467, 1927
"d:\Code\Gw2-wvw-log-analyzer\docs\03-database\schema-design.md", "Markdown", 0, 0, 0, 672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 807
"d:\Code\Gw2-wvw-log-analyzer\docs\03-database\storage-strategy.md", "Markdown", 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 406
"d:\Code\Gw2-wvw-log-analyzer\docs\03-database\zevtc-complete-schema-design.md", "Markdown", 0, 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 463
"d:\Code\Gw2-wvw-log-analyzer\docs\03-database\zevtc_complete_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 77, 426
"d:\Code\Gw2-wvw-log-analyzer\docs\03-frontend\directory-restructure.md", "Markdown", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 268
"d:\Code\Gw2-wvw-log-analyzer\docs\04-parser\parser-specification.md", "Markdown", 0, 0, 0, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 576
"d:\Code\Gw2-wvw-log-analyzer\docs\04-parser\parser-troubleshooting.md", "Markdown", 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 352
"d:\Code\Gw2-wvw-log-analyzer\docs\05-features\ai-integration.md", "Markdown", 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 274
